"n","len_of_arr","k","comparisions","swaps"
"100","5","50","1164","343"
"100","5","5","954","277"
"100","5","95","1109","324"
"100","5","50","1045","312"
"100","5","5","958","287"
"100","5","95","861","264"
"100","5","50","1178","347"
"100","5","5","990","285"
"100","5","95","1122","322"
"100","5","50","501","142"
"100","5","5","996","288"
"100","5","95","903","277"
"100","5","50","986","295"
"100","5","5","920","266"
"100","5","95","1012","307"
"100","5","50","1011","314"
"100","5","5","988","298"
"100","5","95","1000","307"
"100","5","50","561","165"
"100","5","5","1108","341"
"100","5","95","1011","308"
"100","5","50","954","278"
"100","5","5","975","284"
"100","5","95","965","288"
"100","5","50","586","168"
"100","5","5","994","294"
"100","5","95","1061","320"
"100","5","50","1070","315"
"100","5","5","1172","348"
"100","5","95","948","270"
"100","5","50","1077","324"
"100","5","5","1186","359"
"100","5","95","1005","307"
"100","5","50","991","300"
"100","5","5","995","315"
"100","5","95","1042","311"
"100","5","50","1063","322"
"100","5","5","1074","320"
"100","5","95","1025","301"
"100","5","50","1070","311"
"100","5","5","1017","295"
"100","5","95","1057","314"
"100","5","50","920","277"
"100","5","5","984","303"
"100","5","95","871","258"
"100","5","50","1052","321"
"100","5","5","1056","316"
"100","5","95","1054","322"
"100","5","50","1033","301"
"100","5","5","971","283"
"100","5","95","1053","309"
"100","5","50","1075","318"
"100","5","5","1098","324"
"100","5","95","1095","333"
"100","5","50","1110","357"
"100","5","5","1120","344"
"100","5","95","957","299"
"100","5","50","1089","307"
"100","5","5","1022","283"
"100","5","95","968","274"
"100","5","50","1070","310"
"100","5","5","1044","310"
"100","5","95","972","273"
"100","5","50","1097","322"
"100","5","5","1076","313"
"100","5","95","964","278"
"100","5","50","460","140"
"100","5","5","846","248"
"100","5","95","892","288"
"100","5","50","923","282"
"100","5","5","1068","339"
"100","5","95","845","267"
"100","5","50","1047","320"
"100","5","5","1135","342"
"100","5","95","1127","346"
"100","5","50","1115","349"
"100","5","5","1077","329"
"100","5","95","955","291"
"100","5","50","1122","341"
"100","5","5","944","273"
"100","5","95","953","276"
"100","5","50","1110","326"
"100","5","5","1114","332"
"100","5","95","1073","307"
"100","5","50","993","311"
"100","5","5","964","300"
"100","5","95","912","273"
"100","5","50","1144","344"
"100","5","5","1021","299"
"100","5","95","973","309"
"100","5","50","1050","313"
"100","5","5","1129","339"
"100","5","95","1016","306"
"100","5","50","911","274"
"100","5","5","1078","341"
"100","5","95","933","270"
"100","5","50","1087","334"
"100","5","5","1049","325"
"100","5","95","983","304"
"100","5","50","1082","329"
"100","5","5","1089","324"
"100","5","95","1030","298"
"100","5","50","618","171"
"100","5","5","1164","356"
"100","5","95","1059","305"
"100","5","50","1105","330"
"100","5","5","1065","324"
"100","5","95","1025","314"
"100","5","50","597","181"
"100","5","5","1138","342"
"100","5","95","1049","320"
"100","5","50","567","173"
"100","5","5","1058","325"
"100","5","95","920","289"
"100","5","50","1083","316"
"100","5","5","1033","303"
"100","5","95","990","289"
"100","5","50","1123","356"
"100","5","5","999","298"
"100","5","95","1004","315"
"100","5","50","1056","304"
"100","5","5","1102","321"
"100","5","95","1045","314"
"100","5","50","1060","332"
"100","5","5","996","309"
"100","5","95","954","298"
"100","5","50","1018","302"
"100","5","5","952","280"
"100","5","95","810","245"
"100","5","50","1057","315"
"100","5","5","1014","300"
"100","5","95","988","297"
"100","5","50","546","145"
"100","5","5","1038","305"
"100","5","95","973","266"
"100","5","50","947","285"
"100","5","5","884","260"
"100","5","95","923","285"
"100","5","50","1183","353"
"100","5","5","970","282"
"100","5","95","1071","307"
"100","5","50","1123","337"
"100","5","5","1100","329"
"100","5","95","996","313"
"100","5","50","1002","312"
"100","5","5","970","295"
"100","5","95","925","287"
"100","5","50","1072","308"
"100","5","5","1023","290"
"100","5","95","1108","321"
"100","5","50","1121","343"
"100","5","5","1126","344"
"100","5","95","1063","333"
"100","5","50","1016","323"
"100","5","5","951","302"
"100","5","95","917","285"
"100","5","50","1130","334"
"100","5","5","1026","301"
"100","5","95","1014","299"
"100","5","50","1071","314"
"100","5","5","1091","323"
"100","5","95","1040","293"
"100","5","50","997","286"
"100","5","5","1006","286"
"100","5","95","1004","278"
"100","5","50","1102","338"
"100","5","5","1047","320"
"100","5","95","1008","310"
"100","5","50","543","170"
"100","5","5","1062","326"
"100","5","95","1003","309"
"100","5","50","924","289"
"100","5","5","1054","337"
"100","5","95","906","292"
"100","5","50","978","295"
"100","5","5","877","270"
"100","5","95","886","271"
"100","5","50","1168","348"
"100","5","5","943","277"
"100","5","95","1148","339"
"100","5","50","1195","359"
"100","5","5","1169","347"
"100","5","95","1010","308"
"100","5","50","586","172"
"100","5","5","989","297"
"100","5","95","1013","306"
"100","5","50","1084","323"
"100","5","5","1138","355"
"100","5","95","1025","318"
"100","5","50","1102","320"
"100","5","5","954","284"
"100","5","95","1097","323"
"100","5","50","998","283"
"100","5","5","1031","297"
"100","5","95","852","246"
"100","5","50","1041","316"
"100","5","5","985","290"
"100","5","95","966","289"
"100","5","50","1038","302"
"100","5","5","939","250"
"100","5","95","980","289"
"100","5","50","962","273"
"100","5","5","975","270"
"100","5","95","984","286"
"100","5","50","1049","300"
"100","5","5","886","260"
"100","5","95","990","286"
"100","5","50","1093","328"
"100","5","5","975","289"
"100","5","95","944","294"
"100","5","50","1163","348"
"100","5","5","1240","384"
"100","5","95","962","296"
"100","5","50","1043","311"
"100","5","5","1094","336"
"100","5","95","995","297"
"100","5","50","941","259"
"100","5","5","1067","312"
"100","5","95","1121","310"
"100","5","50","1119","341"
"100","5","5","1005","297"
"100","5","95","1033","310"
"100","5","50","943","298"
"100","5","5","1086","350"
"100","5","95","843","258"
"100","5","50","951","285"
"100","5","5","920","274"
"100","5","95","951","282"
"100","5","50","491","142"
"100","5","5","1082","327"
"100","5","95","1038","315"
"100","5","50","1075","308"
"100","5","5","1048","326"
"100","5","95","1074","317"
"100","5","50","1153","326"
"100","5","5","1022","292"
"100","5","95","1124","313"
"100","5","50","1043","339"
"100","5","5","1003","313"
"100","5","95","1019","318"
"100","5","50","1148","340"
"100","5","5","1029","300"
"100","5","95","1108","324"
"100","5","50","924","277"
"100","5","5","977","297"
"100","5","95","840","260"
"100","5","50","968","281"
"100","5","5","836","247"
"100","5","95","1095","320"
"100","5","50","622","172"
"100","5","5","1220","350"
"100","5","95","971","288"
"100","5","50","566","145"
"100","5","5","1074","304"
"100","5","95","1039","288"
"100","5","50","1040","307"
"100","5","5","984","295"
"100","5","95","1053","309"
"100","5","50","969","287"
"100","5","5","968","291"
"100","5","95","1131","337"
"100","5","50","1169","319"
"100","5","5","1174","336"
"100","5","95","1112","303"
"100","5","50","1013","307"
"100","5","5","1116","342"
"100","5","95","983","295"
"100","5","50","1074","324"
"100","5","5","1041","312"
"100","5","95","1027","301"
"100","5","50","897","268"
"100","5","5","971","287"
"100","5","95","980","295"
"100","5","50","1058","312"
"100","5","5","966","284"
"100","5","95","1011","307"
"100","5","50","975","284"
"100","5","5","909","267"
"100","5","95","967","290"
"100","5","50","563","165"
"100","5","5","1035","311"
"100","5","95","1005","296"
"100","5","50","1129","371"
"100","5","5","1129","356"
"100","5","95","928","300"
"100","5","50","1117","312"
"100","5","5","1039","292"
"100","5","95","1130","319"
"100","5","50","1068","313"
"100","5","5","1188","362"
"100","5","95","1116","327"
"100","5","50","964","305"
"100","5","5","1076","342"
"100","5","95","931","291"
"100","5","50","1179","380"
"100","5","5","1125","349"
"100","5","95","909","292"
"100","5","50","1044","302"
"100","5","5","1162","358"
"100","5","95","1066","312"
"200","5","100","2216","646"
"200","5","10","2115","615"
"200","5","190","2019","591"
"200","5","100","2289","650"
"200","5","10","2222","614"
"200","5","190","2364","669"
"200","5","100","2225","654"
"200","5","10","2136","618"
"200","5","190","2317","673"
"200","5","100","2282","685"
"200","5","10","2281","677"
"200","5","190","2045","599"
"200","5","100","2209","636"
"200","5","10","2438","718"
"200","5","190","2104","624"
"200","5","100","2336","717"
"200","5","10","2085","595"
"200","5","190","2080","630"
"200","5","100","2201","635"
"200","5","10","2317","665"
"200","5","190","2192","644"
"200","5","100","2252","695"
"200","5","10","2517","751"
"200","5","190","1989","615"
"200","5","100","2253","656"
"200","5","10","2457","708"
"200","5","190","2162","636"
"200","5","100","1277","366"
"200","5","10","2303","676"
"200","5","190","2277","648"
"200","5","100","2456","691"
"200","5","10","2209","603"
"200","5","190","2389","656"
"200","5","100","2209","657"
"200","5","10","2130","634"
"200","5","190","2177","635"
"200","5","100","2207","623"
"200","5","10","2058","584"
"200","5","190","2335","671"
"200","5","100","2371","736"
"200","5","10","2262","696"
"200","5","190","2033","629"
"200","5","100","2353","699"
"200","5","10","2125","649"
"200","5","190","2292","672"
"200","5","100","2117","624"
"200","5","10","2127","632"
"200","5","190","1996","559"
"200","5","100","2155","602"
"200","5","10","2101","628"
"200","5","190","2318","656"
"200","5","100","2174","633"
"200","5","10","2011","605"
"200","5","190","2308","676"
"200","5","100","2141","630"
"200","5","10","2376","707"
"200","5","190","2161","645"
"200","5","100","2108","632"
"200","5","10","2218","661"
"200","5","190","2131","644"
"200","5","100","2269","643"
"200","5","10","2238","655"
"200","5","190","2160","626"
"200","5","100","2263","653"
"200","5","10","2340","675"
"200","5","190","2171","631"
"200","5","100","2179","570"
"200","5","10","2226","617"
"200","5","190","2147","584"
"200","5","100","1114","345"
"200","5","10","2146","649"
"200","5","190","2135","640"
"200","5","100","2270","700"
"200","5","10","2329","691"
"200","5","190","2237","679"
"200","5","100","2295","661"
"200","5","10","2316","655"
"200","5","190","2214","629"
"200","5","100","2049","648"
"200","5","10","2056","628"
"200","5","190","2086","629"
"200","5","100","2028","580"
"200","5","10","2013","560"
"200","5","190","1991","550"
"200","5","100","2269","690"
"200","5","10","2282","707"
"200","5","190","2079","650"
"200","5","100","2286","686"
"200","5","10","2158","655"
"200","5","190","2217","649"
"200","5","100","2344","691"
"200","5","10","2326","673"
"200","5","190","2212","643"
"200","5","100","2056","604"
"200","5","10","2143","639"
"200","5","190","1995","594"
"200","5","100","2333","681"
"200","5","10","2145","627"
"200","5","190","2282","658"
"200","5","100","2164","639"
"200","5","10","2195","643"
"200","5","190","2096","648"
"200","5","100","2116","650"
"200","5","10","2253","696"
"200","5","190","2104","643"
"200","5","100","2182","626"
"200","5","10","2200","633"
"200","5","190","2116","625"
"200","5","100","2364","694"
"200","5","10","2262","695"
"200","5","190","2342","690"
"200","5","100","2296","695"
"200","5","10","2105","640"
"200","5","190","2173","648"
"200","5","100","2178","629"
"200","5","10","2099","584"
"200","5","190","2090","576"
"200","5","100","2319","622"
"200","5","10","2254","611"
"200","5","190","2312","619"
"200","5","100","2246","615"
"200","5","10","2343","664"
"200","5","190","2347","642"
"200","5","100","2195","657"
"200","5","10","2118","627"
"200","5","190","1893","580"
"200","5","100","2142","669"
"200","5","10","2273","690"
"200","5","190","1922","601"
"200","5","100","2181","621"
"200","5","10","2198","635"
"200","5","190","2015","583"
"200","5","100","2349","674"
"200","5","10","2319","673"
"200","5","190","2353","672"
"200","5","100","2505","704"
"200","5","10","2305","647"
"200","5","190","2459","685"
"200","5","100","2256","665"
"200","5","10","2244","656"
"200","5","190","2204","665"
"200","5","100","2272","628"
"200","5","10","2450","678"
"200","5","190","2294","641"
"200","5","100","2344","677"
"200","5","10","2367","689"
"200","5","190","2273","640"
"200","5","100","2128","622"
"200","5","10","1780","530"
"200","5","190","2117","618"
"200","5","100","2300","645"
"200","5","10","2460","696"
"200","5","190","2190","628"
"200","5","100","2407","698"
"200","5","10","2343","675"
"200","5","190","2021","599"
"200","5","100","2340","689"
"200","5","10","2332","683"
"200","5","190","2308","667"
"200","5","100","2302","681"
"200","5","10","2246","656"
"200","5","190","2122","639"
"200","5","100","1980","612"
"200","5","10","1917","587"
"200","5","190","1874","587"
"200","5","100","2291","654"
"200","5","10","2185","637"
"200","5","190","2125","602"
"200","5","100","2134","633"
"200","5","10","1959","592"
"200","5","190","2035","624"
"200","5","100","2141","664"
"200","5","10","2073","612"
"200","5","190","2142","654"
"200","5","100","2202","672"
"200","5","10","2237","691"
"200","5","190","2126","644"
"200","5","100","2064","556"
"200","5","10","2157","602"
"200","5","190","2209","600"
"200","5","100","2264","660"
"200","5","10","2311","682"
"200","5","190","2214","625"
"200","5","100","2339","671"
"200","5","10","2310","670"
"200","5","190","2234","642"
"200","5","100","2156","609"
"200","5","10","2234","643"
"200","5","190","2184","636"
"200","5","100","2169","594"
"200","5","10","2136","593"
"200","5","190","2051","546"
"200","5","100","2056","610"
"200","5","10","2085","607"
"200","5","190","1813","559"
"200","5","100","2170","614"
"200","5","10","2169","640"
"200","5","190","2331","678"
"200","5","100","1208","340"
"200","5","10","2117","585"
"200","5","190","2148","604"
"200","5","100","2242","666"
"200","5","10","2196","665"
"200","5","190","2023","610"
"200","5","100","2146","630"
"200","5","10","2228","658"
"200","5","190","2212","677"
"200","5","100","2118","637"
"200","5","10","2126","641"
"200","5","190","2161","648"
"200","5","100","2100","631"
"200","5","10","2321","698"
"200","5","190","2259","670"
"200","5","100","2161","642"
"200","5","10","2094","622"
"200","5","190","2041","625"
"200","5","100","1195","351"
"200","5","10","2161","622"
"200","5","190","2149","621"
"200","5","100","1064","279"
"200","5","10","2201","611"
"200","5","190","2063","585"
"200","5","100","2118","635"
"200","5","10","2297","669"
"200","5","190","2244","648"
"200","5","100","2147","636"
"200","5","10","2252","685"
"200","5","190","2214","649"
"200","5","100","2096","621"
"200","5","10","1963","556"
"200","5","190","2075","611"
"200","5","100","2362","696"
"200","5","10","2355","686"
"200","5","190","2335","682"
"200","5","100","2296","681"
"200","5","10","2119","645"
"200","5","190","2221","659"
"200","5","100","2111","609"
"200","5","10","2166","630"
"200","5","190","2051","560"
"200","5","100","2211","623"
"200","5","10","2222","622"
"200","5","190","2147","605"
"200","5","100","1177","357"
"200","5","10","2359","710"
"200","5","190","2053","633"
"200","5","100","2246","672"
"200","5","10","2078","633"
"200","5","190","2196","642"
"200","5","100","2316","647"
"200","5","10","2136","616"
"200","5","190","2207","612"
"200","5","100","2299","674"
"200","5","10","2258","666"
"200","5","190","2189","640"
"200","5","100","2155","605"
"200","5","10","2233","615"
"200","5","190","2123","598"
"200","5","100","2235","626"
"200","5","10","2233","608"
"200","5","190","2350","649"
"200","5","100","2026","606"
"200","5","10","2156","632"
"200","5","190","2010","588"
"200","5","100","2128","636"
"200","5","10","2177","646"
"200","5","190","2064","616"
"200","5","100","2067","585"
"200","5","10","1996","550"
"200","5","190","2096","593"
"200","5","100","2140","626"
"200","5","10","2105","611"
"200","5","190","2178","641"
"200","5","100","2514","687"
"200","5","10","2374","638"
"200","5","190","2378","651"
"200","5","100","2058","610"
"200","5","10","2036","610"
"200","5","190","2039","582"
"200","5","100","2317","656"
"200","5","10","2249","631"
"200","5","190","2146","628"
"200","5","100","1108","345"
"200","5","10","2033","627"
"200","5","190","2220","665"
"200","5","100","2210","626"
"200","5","10","2254","647"
"200","5","190","2207","628"
"200","5","100","2332","697"
"200","5","10","2140","623"
"200","5","190","2129","644"
"200","5","100","2249","613"
"200","5","10","2147","580"
"200","5","190","2063","570"
"200","5","100","2182","635"
"200","5","10","2298","661"
"200","5","190","2111","605"
"200","5","100","2240","658"
"200","5","10","2410","716"
"200","5","190","1947","589"
"300","5","150","3148","952"
"300","5","15","3201","996"
"300","5","285","3087","946"
"300","5","150","3706","1102"
"300","5","15","3350","911"
"300","5","285","3410","1009"
"300","5","150","3366","930"
"300","5","15","3301","914"
"300","5","285","3115","882"
"300","5","150","3614","1058"
"300","5","15","3391","978"
"300","5","285","3384","987"
"300","5","150","3328","995"
"300","5","15","3524","1040"
"300","5","285","3482","1011"
"300","5","150","3440","1043"
"300","5","15","3495","1045"
"300","5","285","3136","954"
"300","5","150","3423","998"
"300","5","15","3295","996"
"300","5","285","3570","1034"
"300","5","150","3477","1041"
"300","5","15","3258","979"
"300","5","285","3501","1037"
"300","5","150","3509","1042"
"300","5","15","3395","975"
"300","5","285","3539","1012"
"300","5","150","3316","927"
"300","5","15","3185","911"
"300","5","285","3487","981"
"300","5","150","3656","1011"
"300","5","15","3537","963"
"300","5","285","3491","967"
"300","5","150","3170","926"
"300","5","15","3360","981"
"300","5","285","3496","986"
"300","5","150","3539","1012"
"300","5","15","3368","949"
"300","5","285","3440","984"
"300","5","150","3242","960"
"300","5","15","3174","935"
"300","5","285","2959","894"
"300","5","150","3296","925"
"300","5","15","3383","945"
"300","5","285","3107","888"
"300","5","150","1759","521"
"300","5","15","3301","990"
"300","5","285","3276","996"
"300","5","150","3472","998"
"300","5","15","3520","1014"
"300","5","285","3445","972"
"300","5","150","3640","1008"
"300","5","15","3481","961"
"300","5","285","3466","966"
"300","5","150","3467","977"
"300","5","15","3459","997"
"300","5","285","3398","982"
"300","5","150","3468","930"
"300","5","15","3415","957"
"300","5","285","3501","936"
"300","5","150","3115","918"
"300","5","15","3106","900"
"300","5","285","3129","919"
"300","5","150","3138","918"
"300","5","15","3333","989"
"300","5","285","3262","942"
"300","5","150","3502","1046"
"300","5","15","3418","1016"
"300","5","285","3145","926"
"300","5","150","1706","520"
"300","5","15","3274","1007"
"300","5","285","3234","985"
"300","5","150","3673","991"
"300","5","15","3456","982"
"300","5","285","3664","987"
"300","5","150","3152","942"
"300","5","15","2981","883"
"300","5","285","3042","907"
"300","5","150","3455","1047"
"300","5","15","3273","937"
"300","5","285","3314","990"
"300","5","150","3676","1027"
"300","5","15","3645","1032"
"300","5","285","3666","1034"
"300","5","150","3330","1026"
"300","5","15","3405","1028"
"300","5","285","3245","990"
"300","5","150","3704","1076"
"300","5","15","3611","1055"
"300","5","285","3237","942"
"300","5","150","3530","1005"
"300","5","15","3582","1005"
"300","5","285","3774","1057"
"300","5","150","3575","1019"
"300","5","15","3001","874"
"300","5","285","3566","1001"
"300","5","150","3338","1011"
"300","5","15","3394","991"
"300","5","285","3444","1053"
"300","5","150","3196","950"
"300","5","15","3308","964"
"300","5","285","3025","904"
"300","5","150","3527","1050"
"300","5","15","3304","977"
"300","5","285","3473","1015"
"300","5","150","3544","1050"
"300","5","15","3578","1053"
"300","5","285","3359","973"
"300","5","150","3492","1062"
"300","5","15","3397","1042"
"300","5","285","3032","934"
"300","5","150","2946","821"
"300","5","15","3072","948"
"300","5","285","3197","915"
"300","5","150","3545","1050"
"300","5","15","3518","1044"
"300","5","285","3334","996"
"300","5","150","3389","1003"
"300","5","15","3497","1035"
"300","5","285","3266","951"
"300","5","150","3787","1048"
"300","5","15","3748","1054"
"300","5","285","3520","1006"
"300","5","150","1867","508"
"300","5","15","3349","947"
"300","5","285","3289","943"
"300","5","150","3576","1050"
"300","5","15","3333","962"
"300","5","285","3274","985"
"300","5","150","3475","1040"
"300","5","15","3503","1054"
"300","5","285","3349","970"
"300","5","150","1688","514"
"300","5","15","3328","985"
"300","5","285","3274","1004"
"300","5","150","3461","1009"
"300","5","15","3544","1021"
"300","5","285","3338","965"
"300","5","150","3093","915"
"300","5","15","3274","1004"
"300","5","285","3198","954"
"300","5","150","3305","963"
"300","5","15","3383","985"
"300","5","285","3094","885"
"300","5","150","3189","976"
"300","5","15","3310","1024"
"300","5","285","3269","982"
"300","5","150","3511","1017"
"300","5","15","3309","980"
"300","5","285","3450","1015"
"300","5","150","3243","971"
"300","5","15","3385","997"
"300","5","285","3490","1047"
"300","5","150","3531","1043"
"300","5","15","3360","970"
"300","5","285","3522","1024"
"300","5","150","3552","1040"
"300","5","15","3556","1030"
"300","5","285","3363","979"
"300","5","150","3320","978"
"300","5","15","3188","904"
"300","5","285","3056","912"
"300","5","150","3421","1014"
"300","5","15","3134","911"
"300","5","285","3381","995"
"300","5","150","3128","891"
"300","5","15","2906","850"
"300","5","285","3054","890"
"300","5","150","3613","1008"
"300","5","15","3300","896"
"300","5","285","3769","1037"
"300","5","150","3221","982"
"300","5","15","3422","1069"
"300","5","285","3186","994"
"300","5","150","3662","995"
"300","5","15","3411","925"
"300","5","285","3457","947"
"300","5","150","3260","951"
"300","5","15","3272","948"
"300","5","285","3419","1025"
"300","5","150","3386","1013"
"300","5","15","3099","927"
"300","5","285","3248","967"
"300","5","150","1752","523"
"300","5","15","3155","938"
"300","5","285","3107","930"
"300","5","150","3251","958"
"300","5","15","3318","971"
"300","5","285","3318","959"
"300","5","150","3604","1067"
"300","5","15","3302","963"
"300","5","285","3340","941"
"300","5","150","1849","511"
"300","5","15","3407","982"
"300","5","285","3389","939"
"300","5","150","3674","999"
"300","5","15","3466","945"
"300","5","285","3789","1047"
"300","5","150","3011","906"
"300","5","15","2932","884"
"300","5","285","2839","835"
"300","5","150","3431","1014"
"300","5","15","3107","932"
"300","5","285","3436","1022"
"300","5","150","3512","964"
"300","5","15","3221","915"
"300","5","285","3632","981"
"300","5","150","3665","1058"
"300","5","15","3533","1030"
"300","5","285","3600","1037"
"300","5","150","3015","913"
"300","5","15","3099","941"
"300","5","285","2869","862"
"300","5","150","3318","967"
"300","5","15","3534","1014"
"300","5","285","3495","998"
"300","5","150","3367","1010"
"300","5","15","3364","990"
"300","5","285","3310","1029"
"300","5","150","3350","1008"
"300","5","15","3350","985"
"300","5","285","3331","983"
"300","5","150","3350","965"
"300","5","15","3247","925"
"300","5","285","3118","949"
"300","5","150","3263","970"
"300","5","15","3269","941"
"300","5","285","3266","973"
"300","5","150","1760","528"
"300","5","15","3295","971"
"300","5","285","3122","940"
"300","5","150","3611","1052"
"300","5","15","3270","932"
"300","5","285","3458","1041"
"300","5","150","1756","535"
"300","5","15","3404","1038"
"300","5","285","3259","996"
"300","5","150","3505","985"
"300","5","15","3722","1037"
"300","5","285","3541","999"
"300","5","150","1770","515"
"300","5","15","3449","1019"
"300","5","285","3361","971"
"300","5","150","3504","1034"
"300","5","15","3495","1014"
"300","5","285","3263","994"
"300","5","150","3409","1014"
"300","5","15","3441","1015"
"300","5","285","3358","1002"
"300","5","150","3589","1017"
"300","5","15","3757","1067"
"300","5","285","3476","987"
"300","5","150","3643","1072"
"300","5","15","3300","956"
"300","5","285","3231","934"
"300","5","150","3350","974"
"300","5","15","3357","995"
"300","5","285","3400","1009"
"300","5","150","3445","1022"
"300","5","15","3306","1019"
"300","5","285","3229","974"
"300","5","150","3197","918"
"300","5","15","3175","927"
"300","5","285","3208","915"
"300","5","150","3099","896"
"300","5","15","2916","837"
"300","5","285","3046","904"
"300","5","150","3266","926"
"300","5","15","3453","979"
"300","5","285","3404","971"
"300","5","150","3144","866"
"300","5","15","3347","930"
"300","5","285","3276","890"
"300","5","150","3358","1013"
"300","5","15","3479","1012"
"300","5","285","3194","977"
"300","5","150","3464","1052"
"300","5","15","3233","968"
"300","5","285","3375","1012"
"300","5","150","2933","886"
"300","5","15","2886","869"
"300","5","285","3229","980"
"300","5","150","3513","1041"
"300","5","15","3477","1020"
"300","5","285","3366","1012"
"300","5","150","1746","516"
"300","5","15","3339","992"
"300","5","285","3275","984"
"300","5","150","3404","1028"
"300","5","15","3388","1043"
"300","5","285","2892","867"
"300","5","150","3080","932"
"300","5","15","2947","875"
"300","5","285","2837","862"
"300","5","150","3647","1018"
"300","5","15","3403","946"
"300","5","285","3681","1054"
"300","5","150","3462","1055"
"300","5","15","3390","1006"
"300","5","285","3350","1014"
"400","5","200","4579","1338"
"400","5","20","4389","1293"
"400","5","380","4476","1315"
"400","5","200","4982","1446"
"400","5","20","4868","1398"
"400","5","380","4414","1275"
"400","5","200","2554","709"
"400","5","20","4794","1337"
"400","5","380","4826","1354"
"400","5","200","4605","1349"
"400","5","20","4940","1412"
"400","5","380","4669","1370"
"400","5","200","4410","1180"
"400","5","20","4180","1144"
"400","5","380","4662","1241"
"400","5","200","4908","1327"
"400","5","20","4879","1330"
"400","5","380","4647","1268"
"400","5","200","4735","1375"
"400","5","20","4561","1358"
"400","5","380","4603","1351"
"400","5","200","4831","1306"
"400","5","20","4677","1296"
"400","5","380","4936","1340"
"400","5","200","2279","686"
"400","5","20","4564","1356"
"400","5","380","4336","1271"
"400","5","200","4997","1401"
"400","5","20","4823","1371"
"400","5","380","4647","1308"
"400","5","200","5072","1413"
"400","5","20","4814","1361"
"400","5","380","4833","1354"
"400","5","200","4460","1252"
"400","5","20","4513","1246"
"400","5","380","4105","1192"
"400","5","200","4410","1291"
"400","5","20","4518","1320"
"400","5","380","4255","1255"
"400","5","200","4690","1414"
"400","5","20","4561","1375"
"400","5","380","4610","1339"
"400","5","200","4916","1367"
"400","5","20","4939","1395"
"400","5","380","4981","1408"
"400","5","200","4678","1242"
"400","5","20","4610","1220"
"400","5","380","4446","1190"
"400","5","200","4832","1374"
"400","5","20","5067","1436"
"400","5","380","4470","1345"
"400","5","200","4877","1350"
"400","5","20","4529","1247"
"400","5","380","4736","1320"
"400","5","200","4880","1327"
"400","5","20","4785","1310"
"400","5","380","4942","1334"
"400","5","200","4800","1346"
"400","5","20","4833","1358"
"400","5","380","4789","1358"
"400","5","200","4565","1356"
"400","5","20","4518","1341"
"400","5","380","4364","1273"
"400","5","200","4429","1317"
"400","5","20","4674","1379"
"400","5","380","4470","1290"
"400","5","200","4545","1288"
"400","5","20","4010","1105"
"400","5","380","4511","1266"
"400","5","200","4850","1366"
"400","5","20","4974","1388"
"400","5","380","4492","1230"
"400","5","200","4150","1181"
"400","5","20","4004","1167"
"400","5","380","4363","1224"
"400","5","200","4698","1339"
"400","5","20","4838","1386"
"400","5","380","4939","1404"
"400","5","200","4368","1352"
"400","5","20","4632","1352"
"400","5","380","4280","1345"
"400","5","200","4466","1312"
"400","5","20","4497","1302"
"400","5","380","4463","1301"
"400","5","200","4622","1322"
"400","5","20","4798","1356"
"400","5","380","4827","1348"
"400","5","200","4924","1366"
"400","5","20","4671","1290"
"400","5","380","4642","1302"
"400","5","200","4792","1353"
"400","5","20","4401","1250"
"400","5","380","4745","1340"
"400","5","200","2667","694"
"400","5","20","4935","1334"
"400","5","380","4866","1314"
"400","5","200","4766","1315"
"400","5","20","4877","1356"
"400","5","380","4668","1303"
"400","5","200","4488","1273"
"400","5","20","4601","1334"
"400","5","380","4542","1289"
"400","5","200","4716","1302"
"400","5","20","4809","1328"
"400","5","380","4488","1235"
"400","5","200","4789","1355"
"400","5","20","4521","1276"
"400","5","380","5010","1417"
"400","5","200","2528","680"
"400","5","20","4924","1369"
"400","5","380","4401","1209"
"400","5","200","4929","1394"
"400","5","20","4931","1416"
"400","5","380","4366","1322"
"400","5","200","4943","1340"
"400","5","20","5050","1331"
"400","5","380","4598","1287"
"400","5","200","4546","1369"
"400","5","20","4538","1364"
"400","5","380","4525","1344"
"400","5","200","4539","1365"
"400","5","20","4377","1292"
"400","5","380","4572","1361"
"400","5","200","4724","1359"
"400","5","20","4713","1335"
"400","5","380","4696","1328"
"400","5","200","4854","1458"
"400","5","20","4061","1202"
"400","5","380","4614","1369"
"400","5","200","4496","1333"
"400","5","20","4804","1384"
"400","5","380","4451","1348"
"400","5","200","4196","1284"
"400","5","20","4387","1347"
"400","5","380","4349","1337"
"400","5","200","4620","1319"
"400","5","20","4526","1288"
"400","5","380","4667","1307"
"400","5","200","4595","1376"
"400","5","20","4259","1261"
"400","5","380","4509","1349"
"400","5","200","4240","1247"
"400","5","20","4248","1255"
"400","5","380","4355","1282"
"400","5","200","4693","1345"
"400","5","20","4956","1409"
"400","5","380","4766","1339"
"400","5","200","4574","1332"
"400","5","20","4775","1345"
"400","5","380","4779","1392"
"400","5","200","4926","1364"
"400","5","20","4931","1368"
"400","5","380","4871","1361"
"400","5","200","4683","1339"
"400","5","20","4398","1263"
"400","5","380","4682","1323"
"400","5","200","4735","1367"
"400","5","20","4712","1372"
"400","5","380","4486","1340"
"400","5","200","4873","1347"
"400","5","20","4685","1322"
"400","5","380","4965","1370"
"400","5","200","1800","555"
